iter	Logloss
0	0.6585775822
1	0.6315153939
2	0.6059914284
3	0.5817816149
4	0.5496805486
5	0.5344086697
6	0.5123233284
7	0.4952097798
8	0.4777680767
9	0.4650151053
10	0.4509217666
11	0.4428363182
12	0.4106556931
13	0.4026063571
14	0.3922066839
15	0.379886634
16	0.368333077
17	0.3579187881
18	0.3518106768
19	0.344196235
20	0.3383648905
21	0.3332739839
22	0.3282096801
23	0.3210973764
24	0.3105663151
25	0.303562311
26	0.2981661475
27	0.2896640468
28	0.2873695685
29	0.2825348651
30	0.2713330396
31	0.260790698
32	0.2562794008
33	0.2531815053
34	0.2465060343
35	0.2424977273
36	0.2381481568
37	0.2336931942
38	0.2286318173
39	0.2271930374
40	0.2242757818
41	0.2178096023
42	0.2142932737
43	0.2102607211
44	0.2086413228
45	0.2034877236
46	0.2003732025
47	0.1967928971
48	0.1931751555
49	0.1894223448
50	0.1860005559
51	0.1833535806
52	0.181031167
53	0.1776016373
54	0.1749434792
55	0.1731809684
56	0.1683833373
57	0.1643274562
58	0.1628209318
59	0.1608105137
60	0.1595264178
61	0.1573116188
62	0.1537394556
63	0.1531132958
64	0.1507619387
65	0.1488546515
66	0.1477466568
67	0.1449155832
68	0.1434780576
69	0.1389404799
70	0.138570601
71	0.1363505841
72	0.1343052617
73	0.1314554966
74	0.1297239842
75	0.1293492663
76	0.1277132238
77	0.1263164734
78	0.1247921062
79	0.1237209483
80	0.1226376349
81	0.1207779882
82	0.1187126842
83	0.116420442
84	0.1149210241
85	0.1131977662
86	0.1104291589
87	0.1091135621
88	0.1063744285
89	0.1056370985
90	0.1033146006
91	0.1026508579
92	0.1007721415
93	0.09933738553
94	0.09773764417
95	0.09723863464
96	0.09509585682
97	0.09449428741
98	0.09111927043
99	0.08965335878
100	0.08780786754
101	0.08600854285
102	0.08497207138
103	0.08346402371
104	0.0825445641
